,London Borough,Latitude,Longitude,Parks,Museum,Library,Public Bathroom,Post Office,Travel & Transport,Hospital,School,Bookstore,Gym / Fitness Center,Farm,Bar,Place of Worship,ATM,Casino
0,Barking and Dagenham,51.5541171,0.150504342619943,3,0,1,0,1,9,0,9,0,4,0,3,6,2,0
1,Barnet,51.6487843,-0.1729127,4,0,0,0,3,15,0,2,0,7,0,7,5,0,0
2,Bexley,51.4416793,0.150488,1,1,1,0,0,3,0,1,0,0,1,8,3,0,0
3,Brent,51.5847777,-0.2991803,4,0,1,0,1,16,0,8,1,4,0,5,11,0,0
4,Bromley,51.4028046,0.0148142,7,0,1,0,3,31,0,5,6,9,0,22,13,1,2
5,Camden,51.5423045,-0.1395604,16,6,4,0,13,45,2,25,10,41,0,50,20,0,1
6,Croydon,51.3713049,-0.101957,5,2,1,0,5,45,1,15,6,14,0,50,11,1,1
7,Ealing,51.5126553,-0.3051952,11,0,1,0,10,47,1,19,5,17,0,32,25,0,0
8,Enfield,51.6520851,-0.0810175,4,2,1,0,3,21,0,6,3,6,0,13,8,1,0
9,Greenwich,51.4820845,-0.0045417,7,14,4,0,2,47,0,19,7,15,1,44,13,1,0
10,Hackney,51.5432402,-0.0493621,14,3,4,0,9,40,6,19,10,34,1,50,27,0,0
11,Hammersmith and Fulham,51.4920377,-0.2236401,12,2,2,0,15,49,11,30,6,38,0,50,26,0,1
12,Haringey,51.58792985,-0.10541010599099,11,0,1,0,7,32,0,17,5,16,0,21,18,0,1
13,Harrow,51.5967688,-0.33727515543507,3,0,2,0,1,20,0,6,1,8,0,9,17,0,0
14,Havering,51.5443687,-0.144303179891979,10,5,3,0,13,43,2,22,9,40,1,50,24,0,1
15,Hillingdon,51.5425193,-0.448334931179497,3,1,2,0,1,7,0,7,0,0,0,2,7,1,0
16,Hounslow,51.4686132,-0.3613471,2,0,2,0,3,38,2,7,2,8,0,20,17,0,1
17,Islington,51.5384287,-0.0999051,34,4,4,0,16,46,1,30,8,46,1,50,26,0,2
18,Kensington and Chelsea,51.4989948,-0.1991229,11,4,3,1,10,49,1,19,10,47,0,50,30,0,3
19,Kingston upon Thames,51.4096275,-0.3062621,9,1,3,1,3,39,0,11,9,16,0,36,24,0,0
20,Lambeth,51.5013012,-0.117287,31,38,12,5,9,49,33,27,29,45,1,50,40,1,0
21,Lewisham,51.4624325,-0.0101331,9,0,1,0,4,40,4,10,5,13,0,14,12,0,2
22,Merton,51.41080285,-0.188097730556762,6,0,3,0,6,38,0,9,2,8,1,9,19,1,1
23,Newham,51.52999955,0.0293179602938221,5,0,1,0,5,41,9,5,2,9,0,18,25,0,0
24,Redbridge,51.5762528,0.0454097,4,1,0,0,2,9,0,2,0,2,1,4,6,0,0
25,Richmond upon Thames,51.44035365,-0.308151177673228,7,1,1,0,1,11,0,6,0,2,0,6,4,0,0
26,Southwark,51.5029222,-0.103458,28,27,10,3,8,50,28,25,19,49,1,50,35,1,1
27,Sutton,51.3575114,-0.173640122600872,6,1,1,0,0,6,0,3,1,2,0,2,9,0,0
28,Tower Hamlets,51.49595675,-0.011744492532098,10,1,2,1,8,43,2,12,1,36,2,26,8,0,0
29,Waltham Forest,51.5569991,-0.0058352,10,0,2,0,4,25,0,4,1,9,1,11,14,0,0
30,Wandsworth,51.4570271,-0.1932607,14,1,1,0,3,37,4,14,2,33,0,29,19,1,0
31,Westminster,51.4973206,-0.137149,21,14,11,1,7,48,1,27,24,44,0,50,47,0,3
